,query,type,genre,title,artist,year
60,Sampa,Multiple Elements,Reggae,Le Son Qui Bam Bam,Keen'V,2009
61,O Que Sera (A Flor Da Terra),Soundtrack,,O Que Sera,Simone,1976
62,O Que Sera (A Flor Da Terra),Rock / Pop,,Tu Verras,Claude Nougaro,1978
63,O Que Sera (A Flor Da Terra),Hip-Hop / Rap / R&B,,Oh Qué Será,Los Umbanda,2007
64,O Que Sera (A Flor Da Terra),World,,"Oh, Que Sera?",Willie Colón,1981
65,O Que Sera (A Flor Da Terra),World,,Oh Que Será,Jorge Drexler,2005
66,Deus Lhe Pague,Other,,Deus Lhe Pague,O Rappa,2003
67,Primavera nos dentes,Rock / Pop,,Primavera Nos Dentes,Cidade Negra,2007
68,Assim assado,Drums,Hip-Hop / Rap / R&B,A Friend's Help Interlude,Guilty Simpson,2010
69,Calice,Multiple Elements,Hip-Hop / Rap / R&B,Cálix-se,Trilha Sonora Do Gueto,2015
70,Calice,Vocals / Lyrics,Hip-Hop / Rap / R&B,Abalando,Gabriel O Pensador,1993
71,Sebastiana,Vocals / Lyrics,Soul / Funk / Disco,Disco Samba,Two Man Sound,1976
72,Tuareg,Multiple Elements,World,Yulunga (Spirit Dance),Dead Can Dance,1993
73,O samba da minha terra,Multiple Elements,Hip-Hop / Rap / R&B,Birds on the Sidewalk,Tuamie,2013
74,O Que Sera (A Flor Da Terra),Soundtrack,,O Que Sera,Simone,1976
75,O Que Sera (A Flor Da Terra),Rock / Pop,,Tu Verras,Claude Nougaro,1978
76,O Que Sera (A Flor Da Terra),Hip-Hop / Rap / R&B,,Oh Qué Será,Los Umbanda,2007
77,O Que Sera (A Flor Da Terra),World,,"Oh, Que Sera?",Willie Colón,1981
78,O Que Sera (A Flor Da Terra),World,,Oh Que Será,Jorge Drexler,2005
